number,weight,cover,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10
1,22.63,iron valiant,4,61,37,103,53,176,56,134R,169R,73H
2,22.82,roaring moon,79,119,101,13,56,180,160,106R,97R,156H
3,22.62,armarouge,60,11,69,115,180,160,2,6R,16R,104H
4,22.76,garchomp,75,151,82,153,2,159,157,167R,39R,98H
5,22.75,iron valiant,47,59,84,116,159,157,171,105R,202H,123H
6,22.75,roaring moon,6,148,133,1,171,97,172,60R,176R,40H
7,22.66,armarouge,7,90,79,119,97,172,86,116R,136R,118H
8,22.66,garchomp,19,106,142,67,86,170,99,8R,148R,74H
9,22.67,iron valiant,101,13,75,151,170,99,24,163R,112R,28H
10,22.67,roaring moon,16,43,25,152,24,181,55,61R,258H,120H
11,22.68,armarouge,82,153,6,148,181,55,174,120R,9R,29H
12,22.78,garchomp,20,51,91,10,181,117,178,173R,43R,108H
13,22.61,iron valiant,133,1,19,106,117,178,129,111R,77R,57H
14,22.68,roaring moon,23,37,131,30,129,107,128,64R,67R,217H
15,22.68,armarouge,142,67,16,43,107,128,161,84R,157R,122H
16,22.68,garchomp,64,71,33,77,161,12,105,154R,35R,32H
17,22.79,iron valiant,25,152,20,51,12,105,138,179R,93R,225H
18,22.62,roaring moon,110,87,114,96,138,113,21,152R,131R,125H
19,22.7,armarouge,91,10,23,37,113,21,112,41R,186H,109H
20,22.68,garchomp,127,94,41,62,112,173,9,118R,174R,22H
21,22.65,iron valiant,131,30,64,71,173,9,42,88R,110R,72H
22,22.8,roaring moon,8,35,145,4,42,63,166,48R,71R,76H
23,22.62,armarouge,33,77,110,87,63,166,146,114R,177R,134H
24,22.74,garchomp,39,95,61,132,146,175,85,142R,95R,137H
25,22.62,iron valiant,114,96,127,94,175,85,141,37R,21R,93H
26,22.62,roaring moon,147,48,60,154,141,163,182,170R,83R,158H
27,22.69,armarouge,41,62,8,35,163,182,56,44R,158R,136H
28,22.69,garchomp,15,69,151,14,56,92,164,66R,115R,81H
29,22.69,iron valiant,145,4,39,95,92,164,5,1R,193H,49H
30,22.62,roaring moon,59,44,90,83,5,168,157,101R,147R,118H
31,22.61,armarouge,61,132,147,48,168,157,17,31R,87R,144H
32,22.82,garchomp,26,80,116,88,17,107,177,20R,7R,70H
33,22.65,iron valiant,60,154,15,69,107,177,150,90R,62R,36H
34,22.64,roaring moon,52,126,102,169,150,167,99,151R,132R,104H
35,22.64,armarouge,151,14,59,44,167,176,24,33R,23R,121H
36,22.69,garchomp,143,34,111,165,138,17,86,96R,143R,235H
